n;Grade School;Divide and Conquer;Karatsuba
931;58.736;2746.39;2147.16
932;63.155;2735.02;1959.59
933;58.923;2584.55;1944.68
934;58.614;2569.4;1954.21
935;58.55;2590.32;2134.25
936;60.385;2655.08;2011.2
937;59.568;2564.64;2122.68
938;63.272;2727.2;2027.91
939;72.399;2632.23;1956.32
940;61.009;2761.92;1967.61
941;60.315;2698.59;2103.23
942;64.305;2785.78;2157.65
943;60.034;2785.11;2089.31
944;62.498;2800.31;2083.92
945;71.521;2813.84;2286.41
946;67.468;2771.14;1969.38
947;60.492;2572.33;1979.25
948;61.067;2572.18;1961.58
949;60.9;2582.06;2150.3
950;66.853;2894.13;2114.34
951;65.144;2763.55;2398.16
952;79.775;2828.69;2218.65
953;91.986;2842.94;2126.44
954;65.885;3485.83;2033.39
955;67.241;2739.2;2030.55
956;64.302;2666.66;1969.96
957;66.864;2589.18;1985.21
958;61.57;2604.13;1964.78
959;62.448;2607.58;1961.99
960;65.201;2613.21;1967.97
961;62.348;2611.63;1943.24
962;62.682;2560.25;1951.12
963;64.205;2579.97;1951.07
964;62.336;2560.1;1960.5
965;62.921;2558.67;1964.96
966;62.82;2569.88;1945.06
967;63.164;2629.47;2098.6
968;78.172;2708.23;1946.18
969;63.613;2570.3;1949.86
970;63.43;2567.04;1954.85
971;64.237;2575.18;1952.65
972;63.609;2571.45;1974.12
973;63.656;2576.07;1955.57
974;68.909;2603.36;1952.74
975;64.81;2595.11;1951.01
976;64.082;2576.95;1959.09
977;65.91;2593.81;2023.38
978;64.443;2604.03;1963.56
979;64.266;2589.03;2078.8
980;74.686;2823.15;1962.85
981;65.078;2776.9;2068.38
982;66.489;2807.7;2108.27
983;65.219;2626.36;2027.84
984;67.181;2712.16;2162.22
985;65.113;2747.71;2066.44
986;66.401;2673.06;2016.36
987;65.422;2582.51;1975.39
988;67.156;2581.63;1981.48
989;65.976;2584.4;1961.04
990;65.787;2704.11;2125.82
991;66.919;2850.34;2115.68
992;66.129;2850;2213.7
993;70.398;2730.55;2127.33
994;73.44;2748.79;2073.78
995;70.25;2746.07;1986.58
996;75.925;2883.23;2034.05
997;66.835;2732.03;2010.08
998;68.409;2602.62;1971.53
999;67.838;2585.52;1973.82
1000;67.236;2594.35;1989.69
