n;Grade School;Divide and Conquer;Karatsuba
227;3.591;185.803;155.999
228;4.317;214.66;171.147
229;5.821;205.467;162.247
230;5.006;219.517;156.969
231;4.796;209.998;152.702
232;4.327;205.652;135.531
233;3.845;170.08;135.65
234;6.234;230.14;166.14
235;6.013;185.491;161.377
236;4.222;203.256;142.181
237;4.317;179.178;118.07
238;4.16;166.863;129.054
239;4.454;162.486;131.431
240;3.838;178.494;147.799
241;5.306;164.516;111.637
242;3.469;143.714;130.435
243;4.987;178.859;124.308
244;3.704;158.27;132.555
245;3.975;148.987;112.132
246;4.061;149.672;109.319
247;4.697;140.344;134.181
248;4.38;170.229;126.358
249;4.71;172.107;126.101
250;4.535;171.823;126.905
251;6.156;170.143;109.455
252;3.687;138.469;109.252
253;5.257;188.317;139.589
254;4.787;145.976;103.416
255;3.947;139.692;103.235
256;3.776;144.422;110.186
257;4.695;568.285;410.57
258;4.23;573.454;416.232
259;4.242;593.891;422.523
260;4.069;628.088;452.488
261;4.065;612.741;503.725
262;5.483;619.835;463.911
263;4.063;596.947;457.581
264;4.088;602.735;452.051
265;6.331;600.891;449.644
266;5.008;583.327;416.028
267;4.176;553.928;428.129
268;4.6;584.715;414.797
269;4.175;562.163;413.926
270;4.541;547.875;409.927
271;4.595;548.953;413.511
272;4.433;560.169;456.639
273;4.962;548.018;429.95
274;4.387;546.982;437.229
275;4.47;560.462;408.92
276;4.428;556.686;407.972
277;4.426;541.392;416.223
278;4.581;540.352;428.98
279;4.487;544.236;411.303
280;4.494;582.715;445.839
281;5.021;563.837;409.352
282;4.581;540.545;409.966
283;4.616;540.412;410.502
284;4.652;545.301;420.385
285;5.22;548.953;428.282
286;4.845;542.261;412.038
287;5.122;562.629;413.493
288;4.789;540.849;412.454
289;4.814;548.911;412.773
290;4.851;541.17;413.591
291;4.935;594.705;461.134
292;4.892;539.349;410.083
293;5.132;553.051;412.946
294;4.988;540.36;413.106
295;5.105;541.742;418.786
296;5.18;550.663;423.14
297;6.048;551.751;405.85
298;5.423;549.804;405.034
299;5.244;544.684;413.304
300;5.248;558.895;410.998
301;5.274;546.091;408.222
302;5.334;547.062;406.253
303;5.266;546.512;409.142
304;5.297;557.358;406.787
305;5.387;544.458;408.866
306;5.361;550.865;410.122
307;5.458;541.492;406.578
308;5.438;546.446;408.433
309;5.528;561.471;419.307
310;5.518;549.056;409.129
311;5.676;555.249;410.566
312;5.707;543.491;411.298
313;5.614;548.855;418.177
314;5.709;543.384;411.819
315;5.704;540.962;426.417
316;5.815;540.921;430.082
317;5.993;541.549;416.2
318;5.798;540.561;414.871
319;5.824;541.585;412.197
320;5.865;540.953;413.736
321;6.02;538.352;429.976
322;5.938;544.504;409.274
323;6.358;535.954;404.593
324;6.437;545.081;415.399
325;6.099;560.174;420.945
326;6.185;547.006;406.551
327;6.387;538.702;406.592
328;6.143;546.629;403.184
329;6.363;544.167;404.516
330;6.564;541.502;403.512
331;6.262;542.257;404.063
332;6.309;542.615;412.873
333;6.808;541.766;415.353
334;6.373;543.309;405.747
335;6.549;544.699;405.883
336;6.469;549.891;409.956
337;6.609;541.703;407.792
338;6.722;541.721;407.532
339;6.8;540.669;407.453
340;6.815;544.39;437.132
341;7.626;542.16;405.711
342;6.798;542.922;410.494
343;6.904;536.9;409.538
344;6.851;554.947;416.385
345;6.873;560.691;409.419
346;6.916;537.214;413.42
347;7.042;536.168;413.787
348;7.003;538.97;410.382
349;7.073;539.317;411.863
350;7.145;539.449;409.219
351;7.184;538.781;406.916
352;7.895;542.329;408.098
